;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;D;D;D;D;D;D;D;D;D;D;D;D;X;;;;;;;;;;;;;;
;;Antecedent attributes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Consequent attribute (Hyperparameter Optimization Method);;;;;;;;;;;;;;;;;;;;;;;;;;
;;User specific;;;;;;;;;;;;;;;;;;;Production;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;total n of HPO techniques analyzed;;;;;;;;;;;;;
Rule ID;;UR: quality demands;1;User's programming ability;1;UR: need for model transparency;1;UR: robustness of the model;1;UR: scalability of the model;1;UR: Availability of a well documented library;1;UR: HPO or use of default values?;1;UR: Computer operating system;1;Hardware: access to high performance computing;1;;Production application area;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Number of kernels used;1;Total Computing Time [s];1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Feature characteristics;1;Number of features;1;Noise in dataset;1;Training Technique;1;ML task;1;Detailed ML task;1;Rule ID;Decision Tree;Random Forest;kNN;LinReg (Ridge, Lasso, Elastic Net);Logistic Regression;Support Vector Machine (SVR, SVC);Naive Bayes Classifier;XGBoost;Multilayer Perceptron;Deep NN;Convolutional NN;LSTMs;;12;;;;;;;;;;;;;
;;0,0588;17;0,0769;13;0,0526;19;0,1429;7;0,3333;3;0,1111;9;0,2500;4;0,1667;6;0,0476;21;;0,1429;7;;#DIV/0!;0;0,3333;3;0,0625;16;0,0238;42;;;21;0,0714;14;0,1429;7;0,1250;8;0,1111;9;0,1667;6;#DIV/0!;0;0,0313;32;0,1111;9;;5,12;12,75;4,52;7,53;4,77;5,51;4,76;14,78;4,99;1,91;8,73;4,50;;;;;;;;;;;;;;;
1;;high;;;;;;;;;;;;;;;;;;;Process Parameter Prediction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0,5000;;;;;;;;Flo;;which ML algorithms are easy to parallelize?;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;;Process Parameter Prediction;;;;;;;;;1.0:43200;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1,0000;;;;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;;;;;Process Parameter Prediction;;;;;;;;;>43200;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;
4;;;;;;;;high;;;;;;;;;;;;;Process Parameter Prediction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;0,3333;;;;;;0,3333;;;;;;;;;;;;;;;;;;;
5;;;;low;;;;;;;;;;;;;;;;;Process Parameter Prediction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;0,5000;;;;;;0,5000;;;;;;;;;;;;;;;;;;;
6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>100000;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;6;;;;;1,0000;;;;;;;;;;;scikit-learn cheatsheet;;;;;;;;;;;
7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<100000;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;7;;;0,5000;;;0,5000;;;;;;;;;;;;;;;;;;;;;
8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>100000;;;;;;;;;;;;Regression;;;;8;;;;1,0000;;;;;;;;;;;;;;;;;;;;;;;
9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<100000;;;;;;;;;;;;Regression;;;;9;;;;0,5000;;0,5000;;;;;;;;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1.0:43200;;;;;;;;;;;;;;;;;Regression;;;;10;;;;1,0000;;;;;;;;;;;;azure cheatsheet;;;;;;;;;;;
11;;high;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1.0:43200;;;;;;;;;;;;;;;;;Regression;;;;11;;1,0000;;;;;;;;;;;;;;;;;;;;;;;;;
12;;high;;;;;;;;;;;;;;;;;;;;;;;;;;>1;;>43200;;;;;;;;;;;;;;;;;Regression;;;;12;;;;;;;;;1,0000;;;;;;;;;;;;;;;;;;
13;;high;;;;;;;;;;;;;;;;yes;;;;;;;;;;1;;1.0:43200;;;;;;;;;;;;;;;;;Regression;;;;13;;;;;;;;1,0000;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1.0:43200;;;;;;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;14;;;;;0,5000;;;;0,5000;;;;;;;;;;;;;;;;;;
15;;high;;;;;;;;;;;;;;;;;;;;;;;;;;>1;;>43200;;;;;;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;15;;;;;;;;;1,0000;;;;;;;;;;;;;;;;;;
16;;high;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1.0:43200;;;;;;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;16;;1,0000;;;;;;;;;;;;;;;;;;;;;;;;;
17;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;1;;1.0:43200;;;;;;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;17;;;;;;;;1,0000;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<100;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;18;;;;;;1,0000;;;;;;;;;;;;;;;;;;;;;
